time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
6123900,1.200000,75348,33729,13289,259,3333,704,28421,74304,35529,13905,183,3592,603,27814,22438,10608,3525,28,706,90,2101,387991,226250,93082,1837,38184,3772,189782
6225924,1.196000,51753,24180,9235,154,2269,414,16796,75484,36374,14198,180,3717,624,28424,22479,10582,3524,29,707,89,2178,380131,220902,90948,1797,37282,3656,185903
6327996,1.196000,113051,52559,21515,439,5380,1118,47284,72816,34805,13844,164,3504,564,27192,22551,9875,3475,28,680,88,2092,362797,212088,87268,1763,36312,3465,177261
6430166,1.752000,52598383,26732565,11712653,329098,2579058,304701,26289968,4731795,1501663,582597,12802,161570,28570,2357058,2481451,498694,214821,9897,54512,8823,1231647,2196749,293476,118232,1893,57079,3945,1094184
6532171,2.020000,101314130,34878279,18796338,134699,4036608,212218,50649312,753580,90737,37767,770,9860,2159,365021,32430,10558,3522,31,702,95,3474,1095036,241145,94503,1426,50847,2912,543240
6634134,2.028000,101251923,34927634,18818530,129122,4041196,215431,50617864,764697,94035,38283,639,10089,2061,368332,28380,10744,3767,25,703,94,3328,1418163,280909,113280,1691,53060,3618,704860
6748488,2.904000,113000491,41343218,21471028,178486,4794395,262879,56492265,1856204,152158,63610,1032,16520,3424,917162,837349,25061,9229,247,2238,628,408676,72765842,35601120,13581177,139755,4055710,225645,36378761
6850314,3.016000,99880164,41160584,19825379,210215,4760727,280310,49935887,1897931,96525,39371,554,10359,1958,941700,1156589,9795,3475,26,676,88,571294,100301796,56703361,21656560,186969,6354618,294514,50143856
6952857,2.560000,101801502,91038794,31222411,67290,12768043,88332,50896369,1301075,108578,43474,492,12103,2199,641347,531198,9785,3491,27,701,92,256331,47473183,28766009,11121284,84228,3355150,199118,23729444
7054534,2.616000,101083816,97535262,32667632,43930,13786554,58631,50537687,835451,95333,38549,514,10590,1947,408174,192948,10558,3521,25,701,90,87315,3756949,1354420,466446,5935,192736,22851,1869795
7156218,2.088000,101093565,97323932,32606294,46573,13750968,62324,50542494,705567,95897,39683,626,10442,2047,342700,191944,10550,3520,28,701,91,86802,1046918,314954,106650,1318,44808,5980,514727
7257963,2.088000,101102451,97888181,32780426,45603,13832463,56383,50546957,460208,52422,20999,330,5552,998,220024,192701,10548,3521,25,701,91,87180,292865,20147,7889,190,1805,384,137120
7359593,2.088000,101058112,97705012,32721099,44612,13805610,57030,50524852,624461,64862,26178,411,7023,1361,303107,192481,10592,3519,26,701,93,87039,342981,26558,10359,226,2591,611,161982
7461415,2.096000,101085057,97978814,32810400,40078,13845699,56246,50538310,466175,44100,17695,239,4713,821,223706,192252,9794,3476,26,682,90,87106,193429,9793,3473,33,681,90,87592
7563073,2.092000,101084496,97784395,32748225,40153,13816340,57007,50537972,452590,45475,18237,224,4805,882,216430,192776,10561,3520,25,701,91,87199,193041,10574,3521,36,701,95,87259
7664740,2.092000,101086858,97823775,32759672,44628,13822161,56773,50539150,434995,42963,17187,224,4570,794,208015,192512,10562,3520,26,701,92,87071,359156,26808,9778,216,2635,587,170307
7766414,2.068000,101093198,97849075,32768080,42671,13826954,56606,50542365,477559,52419,20724,308,5539,1097,229284,193112,10564,3520,25,701,91,87368,291917,19744,7492,160,1664,317,136562
7868129,2.088000,101092336,97890570,32781813,41760,13833457,56536,50541850,411023,42211,16695,214,4390,801,195595,193532,10586,3519,27,701,89,87554,379262,37339,15186,279,3534,737,180094
7969781,2.092000,101078295,99155923,33119072,21827,14134145,22213,50534916,405863,50902,20123,259,5380,1049,193195,79668,10538,3520,25,701,91,30703,81271,10589,3522,33,701,91,31220
8071456,2.096000,101085263,99971290,33349702,11503,14308328,5014,50538429,267695,39017,15732,204,4029,763,124274,23527,10574,3522,25,702,89,2690,919484,295155,116416,2095,21401,3629,450635
8173119,2.100000,101083148,100055411,33373780,9752,14321953,3643,50537282,260938,43152,17295,231,4476,773,121035,23251,10557,3520,25,703,90,2567,118445,20016,7485,184,1732,419,49579
8274789,2.104000,101088337,100159402,33407071,9282,14338433,3144,50539957,272993,48423,19489,240,5060,893,126781,23068,10554,3522,25,702,93,2457,110742,20179,7531,129,1745,345,45965
8376405,2.324000,97230106,93266866,31484104,10721,13201412,7906,48610844,302025,45395,18661,218,4729,804,141519,60129,10544,3518,27,701,91,20962,162042,24225,9628,151,2156,352,71766
8477915,2.144000,100945549,31075476,21276340,5115,163290,3335,50468485,119829,44146,17542,213,4675,841,50784,22348,10622,3524,26,706,93,2019,85561,25640,9780,194,2389,496,33579
8579388,1.260000,56983434,17386448,11851565,4176,128260,4608,28487537,104081,44267,17820,241,4563,864,42578,23948,10553,3519,28,701,94,2811,23110,9761,3452,35,680,89,2849
8680827,2.128000,52436999,15711068,11045691,4023,169246,4751,26214316,158156,67979,27351,429,7500,1552,69846,23840,9875,3478,26,682,87,2709,89331,37104,14219,315,3761,927,35591
