time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
6941893,1.200000,97281,42668,16662,344,4428,1013,39575,45427,21469,7927,147,1929,362,13452,22486,10582,3522,29,706,91,2199,380668,217505,89771,1787,36600,3623,186192
7043932,1.200000,35190,16273,5747,74,1413,204,8468,60552,28329,11014,203,2571,481,21080,46907,23332,8683,106,2169,401,14387,420311,239309,99392,1958,38937,4289,205978
7146059,1.204000,1150215,418419,164461,4643,50140,12157,565977,1364941,509453,207593,5697,57147,14872,673227,43412,10617,3519,29,705,92,12550,513211,253141,104005,2071,43121,4302,252399
7248141,1.200000,33675,14669,5323,68,1299,203,7430,111973,44821,17689,487,4551,1164,46525,22533,10617,3521,29,706,92,2231,436216,244582,101221,2027,40328,4295,213922
7350188,1.196000,32339,15344,5358,56,1322,182,7105,22960,10655,3524,29,706,95,2118,22356,10590,3523,29,706,91,2088,390874,222992,92241,1897,36931,3904,191250
7452354,1.200000,32891,14869,5394,61,1319,190,7270,94994,44480,17882,454,4384,1063,38334,22333,10575,3522,29,706,90,2149,399095,225860,93034,1905,37872,4045,195396
7554359,1.188000,136256,56077,23057,601,5836,1618,58926,23656,10661,3527,31,710,92,2475,49805,23473,8717,95,2184,392,15857,386657,215773,88755,1836,36604,3715,189171
7656400,1.204000,33223,15357,5357,68,1330,187,7407,74371,35351,13855,329,3435,716,28020,22744,10649,3522,29,706,91,2190,392375,222290,92245,1910,36628,3844,192049
7758432,1.252000,85578,37051,13894,348,3890,988,33624,81592,37184,14309,318,3801,872,31517,22786,10574,3522,29,706,91,2352,450340,256176,106322,2072,41162,4672,220956
7860468,1.204000,32667,15441,5360,57,1330,180,7190,72586,34528,13402,334,3355,718,27091,22376,10599,3522,29,706,90,2174,388089,220768,91516,1845,36668,3808,189909
7962491,1.200000,32362,15549,5447,60,1350,179,7196,45934,21636,7924,147,1963,389,13694,22394,10565,3523,29,706,93,2165,382211,217995,90317,1773,36131,3736,186986
8064522,1.224000,34307,16256,5752,62,1425,208,8144,61420,28604,11052,227,2632,508,21478,48031,23904,8824,109,2425,394,14931,390195,223575,92653,1790,37211,3839,190929
8166578,1.200000,212473,91215,36530,757,10126,2446,97165,23174,10652,3525,28,710,91,2384,22870,10643,3523,29,706,90,2329,716343,369033,151445,3362,50364,6996,353973
8268624,1.196000,33063,15359,5360,61,1322,185,7306,151366,70109,28623,697,6867,1442,66583,22552,10604,3522,29,706,90,2250,418049,230884,95479,2051,38336,4162,204851
8370655,1.204000,32098,15343,5359,56,1322,173,7008,23289,10644,3525,30,710,94,2263,22186,10583,3522,29,706,88,2100,393360,224176,92676,1879,37098,3960,192514
8472723,1.184000,39054,18439,6572,70,1711,282,10450,88060,42676,17133,366,4169,850,34862,22638,10579,3522,29,706,90,2244,403521,229336,95025,1880,37978,3918,197620
8574749,1.200000,32339,14665,5300,58,1302,167,7027,23150,10666,3525,29,710,97,2210,47908,23962,8843,104,2452,386,14870,391473,223373,92342,1843,37154,3860,191579
8676780,1.200000,107331,47959,19113,370,5129,1134,44678,71345,34808,13685,304,3346,607,26552,22961,10598,3523,29,706,92,2389,387587,221504,91676,1852,37278,3688,189582
8779232,1.732000,27637291,15685115,6146533,279635,1279610,208782,13809509,1693840,448818,203405,5340,49044,10578,837687,1612923,333611,138680,5090,42186,10029,797397,1400012,346184,140700,2754,58056,6432,695786
8881371,3.704000,81036557,32496845,10495193,2675160,3206137,109238,40510697,76087481,29555375,8936710,2704638,2810347,80450,38033681,74422484,29089465,8807147,2813761,2703081,50749,37199139,74326013,28975896,8754134,2752674,2742416,56808,37158575
