time,current,cpu_cycles_0,insns_0,cache_hit_0,cache_miss_0,br_insns_0,br_miss_0,bus_cycles_0,cpu_cycles_1,insns_1,cache_hit_1,cache_miss_1,br_insns_1,br_miss_1,bus_cycles_1,cpu_cycles_2,insns_2,cache_hit_2,cache_miss_2,br_insns_2,br_miss_2,bus_cycles_2,cpu_cycles_3,insns_3,cache_hit_3,cache_miss_3,br_insns_3,br_miss_3,bus_cycles_3
5818869,1.204000,32146,15343,5359,55,1322,168,6997,80752,39152,15294,301,3815,737,31092,22503,10571,3523,27,706,89,2181,393488,223926,92259,1897,37413,3969,192573
5920893,1.204000,32131,15361,5360,53,1322,168,6977,22830,10649,3523,47,710,92,2199,22255,10568,3523,27,706,91,2081,384275,219418,90952,1762,36134,3811,187984
6023603,1.752000,31435099,16424566,6393017,273192,1357299,213744,15708329,22521251,9682391,5162448,38221,1115068,68015,11251482,8269944,3359489,1620701,15753,409543,42443,4125928,4499553,1278874,535819,11493,162537,24739,2245594
6126232,1.900000,750965,121754,53240,928,12638,2240,362915,81277555,31533675,16987873,105911,3648415,196880,40630764,521734,91165,39095,628,9787,1631,250798,1949850,360465,147447,3092,59976,6852,970504
6228258,2.024000,277991,36934,14966,343,3900,758,127024,101297888,34996207,18854621,115225,4048477,218023,50641416,33605,12414,4123,29,829,95,4428,1774227,313750,127528,2067,56399,4592,882856
6330508,2.696000,2039820,122479,50510,1380,13089,3075,1008966,100860204,53973204,21849484,141701,6089000,297572,50422301,73229456,27837272,14279775,120062,3191224,168397,36604042,3135578,394969,153633,2476,80748,5441,1564028
6432478,2.028000,3936507,548355,199361,4282,62087,11947,1951233,43040668,25583185,9649624,55546,2731631,118575,21509444,100659964,36178655,18934972,132066,4290095,215666,50322058,1987191,324976,130150,2202,61997,4720,989173
6534235,3.484000,1706920,191601,69386,1728,24568,4040,844426,60141293,42872584,16340911,61622,4758731,243431,30061751,101086834,97813793,32743602,70890,13788627,54513,50536305,6008002,1527503,586773,12717,193038,31457,3000314
6636043,2.484000,598628,140958,53581,407,20744,2202,289531,5638172,2599500,955074,8145,327988,28246,2805794,101038197,98117182,32845908,45350,13831079,54321,50511979,1386795,301014,120735,2075,55404,4931,689167
6737701,2.960000,714297,155741,60134,715,22007,2698,347390,3487398,1258827,429698,5156,176928,21599,1734221,100995105,98027250,32815649,44030,13818526,54223,50490709,1335278,306100,122642,1970,56127,5029,663281
6839372,2.096000,785625,201319,77173,939,27031,4017,383151,1534295,380395,138848,1846,55225,7064,758456,101016666,97976132,32799907,44193,13810725,54613,50501521,1386818,310066,123405,2038,59730,4606,689148
6941064,2.100000,274251,26979,10355,202,2644,410,127102,197076,10562,3522,39,701,95,88923,101031196,98134526,32851819,44467,13833610,54184,50508647,1117465,236603,95684,1690,43433,3547,554488
7042768,2.140000,270973,24082,9316,167,2356,334,125862,299630,21357,7904,184,1902,459,140474,101047685,98103883,32841895,43259,13829029,54684,50517018,1138918,240104,96618,1816,44142,3909,565191
7144418,2.532000,626686,83849,31206,838,10262,1992,303654,354877,29991,11506,266,2936,757,167888,100991791,98131158,32849927,41626,13833385,54038,50488954,4528251,2090878,829031,9937,283211,31702,2259855
7246304,2.092000,466207,89103,34661,365,10787,1739,224315,194978,9794,3474,54,676,86,88373,101081361,98199007,32874159,43625,13842327,54225,50533841,1111890,238658,96807,1793,43286,3993,551679
7347998,2.096000,493632,55772,22569,539,5928,1384,237084,375430,30805,11662,247,2936,698,178232,101032633,98140649,32853374,43366,13834559,54077,50509486,1285553,259492,104361,1799,48424,3953,638428
7449708,2.096000,1252760,273341,110455,3048,30047,8199,616593,80887,10600,3519,50,701,90,30949,101047583,99699604,33279067,18246,14188762,15640,50516938,960536,234228,93515,1631,45483,3266,475965
7551398,2.108000,92010,23319,8722,157,2208,346,36402,288557,39195,15385,319,3786,859,135145,101025383,100350611,33460213,8540,14331331,1197,50505853,918967,238718,95867,1780,45530,3462,455281
7653093,2.112000,107318,27164,10258,148,2686,380,44202,25664,11508,3818,45,702,95,2851,101029024,100413127,33480510,9367,14340513,866,50507654,860343,218776,88500,1606,40091,3262,425884
7754808,2.108000,214568,42540,16607,330,4490,895,97924,173730,29538,11327,228,2738,594,77617,101059703,100530394,33518930,7426,14357567,736,50523039,1002496,252043,101928,1725,46124,3649,497043
7856513,2.108000,98997,23596,8984,136,2362,331,40075,83229,20318,7542,149,1747,346,31911,101042585,100443897,33491426,8187,14344701,883,50514441,852866,221651,89527,1646,40902,3325,422283
7958341,2.140000,421198,50657,17561,459,6237,982,200999,352409,30204,11416,218,2836,587,166518,97248465,69622049,26894944,20574,8379977,47468,48617417,1365324,281057,111554,1758,55836,3848,678324
8059965,2.128000,88074,31823,12218,164,3219,423,32295,64624,23853,8547,162,2114,382,20023,100915978,30763246,21146967,4074,91987,1397,50448100,518101,222345,89502,1558,41634,3197,254514
8161568,1.608000,1036010,464340,156737,3259,63860,8501,505505,118689,35246,13706,285,3298,622,46466,24762310,7681978,5278389,1237,23323,513,12373741,6383725,3369450,1233964,23142,406670,60625,3187641
8263228,2.100000,508510,210874,76813,1918,27257,4372,244938,66601,21971,8157,207,1966,413,24032,89191507,26239206,18630420,3872,155019,1752,44586522,1859010,852968,326664,7233,116037,17263,925322
8364774,1.264000,228332,65176,26151,692,6445,1508,101856,98681,29787,11387,248,2636,547,37292,70628782,20935865,14866972,3128,123501,1136,35307038,425394,217120,88692,1720,38171,3648,208498
8466285,2.096000,57325,22868,8549,168,2175,339,19478,23934,10607,3522,43,707,91,2660,36156872,10123302,7696070,1712,124715,818,18069758,431181,233644,95548,1881,40830,3919,211366
8567864,2.104000,133742,46480,17962,353,4750,928,54212,129263,43897,17217,374,4247,848,51761,100917239,27812060,21164343,3927,337705,913,50451133,462828,225075,90811,1673,41486,3469,227074
8669352,1.300000,40851,17317,5963,52,1447,188,8080,29935,12504,4119,47,829,90,2310,21420212,5935707,4512465,1096,72975,455,10701994,409624,218681,89695,1818,37490,3638,200490
8770876,2.168000,204011,64396,25907,629,6956,1643,92751,112275,37413,14505,327,3616,772,46976,84662351,41781827,35621116,3408,563469,1048,42321847,481351,249021,100719,1875,45523,3914,236523
8872377,1.260000,56975,23724,8668,156,2180,279,15344,31097,12504,4121,45,829,90,2465,74979675,36717655,31302104,3087,495425,886,37482501,402467,211343,86413,1645,36698,3415,197101
8974382,2.464000,113953,17738,6521,81,1685,249,47772,102492,36864,14612,341,3567,700,42061,32020110,3256184,2713286,238043,174493,1385,16000762,951212,279448,110561,1825,56945,3734,471440
9076565,2.452000,127377,22201,8162,132,2150,299,50276,142596,20346,7536,160,1719,322,57973,101336774,10229595,8579809,755793,542004,1050,50660585,1404546,262287,103615,1765,52498,3655,697495
9178719,2.444000,103281,19706,6950,74,1729,253,37594,324736,35521,13852,309,3440,720,149062,101311085,10244046,8595215,757231,543480,794,50647853,1381693,258015,101816,1593,52512,3405,686420
9280913,2.480000,397714,49548,18794,397,5239,1122,184137,172912,22813,8240,173,1990,391,73229,101331544,10226789,8575579,755140,545775,810,50657106,1480056,277116,109386,1785,56171,3602,735105
9382987,2.180000,406266,60129,24267,497,7638,1283,187426,254083,29706,11560,223,2749,540,113114,97465432,26923806,21755072,438813,1365462,994,48724743,1027266,233725,93512,1709,44347,3563,508720
9484520,2.180000,61806,24704,9462,137,2477,353,21580,23777,10640,3521,46,707,91,2508,57171664,30174709,24110245,2560,1512486,1214,28576548,488965,239899,98111,1867,41725,3905,240341
9586063,1.260000,114476,45223,17598,312,4730,908,45208,118144,40992,15541,305,3963,775,45511,62559687,32612265,26056468,2976,1635033,1385,31272441,443230,235086,96485,1832,39931,3847,217445
9687526,1.264000,51780,23628,8829,115,2430,341,16633,23569,10626,3520,43,702,90,2502,59582450,37877397,25221936,3288,3158513,2217,29781823,430552,234448,96780,1921,38971,4052,211045
